2026-02-27 18:13:17 | INFO | Pineline | ============================================================
2026-02-27 18:13:17 | INFO | Pineline | eBay 多线程商品链接爬虫
2026-02-27 18:13:17 | INFO | Pineline | 模式: 生产者保存HTML -> 队列传递文件路径 -> 消费者读取解析 -> 即用即删
2026-02-27 18:13:17 | INFO | Pineline | ============================================================
2026-02-27 18:13:17 | INFO | Pineline | ============================================================
2026-02-27 18:13:17 | INFO | Pineline | eBay 多线程商品详情爬虫
2026-02-27 18:13:17 | INFO | Pineline | 模式: 生产者保存HTML -> 队列传递文件路径 -> 消费者读取解析 -> 即用即删
2026-02-27 18:13:17 | INFO | Pineline | ============================================================
2026-02-27 18:13:54 | INFO | Pineline | ============================================================
2026-02-27 18:13:54 | INFO | Pineline | eBay 多线程商品链接爬虫
2026-02-27 18:13:54 | INFO | Pineline | 模式: 生产者保存HTML -> 队列传递文件路径 -> 消费者读取解析 -> 即用即删
2026-02-27 18:13:54 | INFO | Pineline | ============================================================
2026-02-27 18:33:37 | INFO | Pineline | ============================================================
2026-02-27 18:33:37 | INFO | Pineline | eBay 多线程商品详情爬虫
2026-02-27 18:33:37 | INFO | Pineline | 模式: 生产者保存HTML -> 队列传递文件路径 -> 消费者读取解析 -> 即用即删
2026-02-27 18:33:37 | INFO | Pineline | ============================================================
